time,Temperature_Air_2m_Mean_24h,Cloud_Cover_Mean,Wind_Speed_10m_Mean,Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean
2018-07-17,295.33286,0.23958166,2.1725087,288.41592,17.407846
2018-07-18,297.25742,0.26934797,2.4668152,286.91187,15.845847
2018-07-19,297.12173,0.17659211,1.524402,287.61328,16.560207
2018-07-20,296.9474,0.5758098,1.1705549,289.32684,18.417717
2018-07-21,297.30493,0.70736367,1.1803877,290.51834,19.788149
2018-07-22,294.93527,0.8389176,1.3170123,291.273,20.721199
2018-07-23,293.9969,0.6541919,2.9635353,288.69464,17.709246
2018-07-24,297.0046,0.32581657,2.9039714,288.16013,17.141289
2018-07-25,297.35248,0.2858395,2.3448572,289.44754,18.531599
2018-07-26,295.9789,0.5059864,1.9125344,289.46704,18.570011
2018-07-27,296.6653,0.47865447,1.244031,290.84146,20.210184
2018-07-28,297.64673,0.45070836,1.4108148,292.22073,21.930893
2018-07-29,299.28085,0.43712065,1.6161054,292.24023,21.959364
2018-07-30,299.7545,0.3268507,2.3013039,291.4305,20.945438
2018-07-31,299.87,0.098378055,2.2221208,290.85336,20.208496
2018-08-01,299.0236,0.3833346,2.2025254,292.86124,22.803963
2018-08-02,296.79898,0.7301665,2.2206824,293.64966,23.887472
2018-08-03,298.0366,0.67133987,2.0826428,293.30695,23.39904
2018-08-04,298.20566,0.11034418,2.0132458,290.30905,19.604156
2018-08-05,298.48584,0.46432292,1.3454968,290.71213,20.030245
2018-08-06,298.99338,0.58756626,1.461748,292.53,22.32885
2018-08-07,299.14758,0.63469017,1.9711077,291.4113,20.907368
2018-08-08,299.5294,0.73586345,1.4897379,292.16193,21.862665
2018-08-09,300.4382,0.25802714,1.4588476,292.65204,22.48891
2018-08-10,298.9535,0.36430585,2.4684882,292.73325,22.620502
2018-08-11,295.7905,0.67681557,2.5070188,290.45142,19.67678
2018-08-12,297.1201,0.21760748,1.7992773,289.12625,18.18808
2018-08-13,298.6818,0.21267381,1.9358784,289.4099,18.508537
2018-08-14,294.7161,0.8281119,1.6891806,290.63516,19.900202
2018-08-15,295.35907,0.71251535,2.3758645,288.27475,17.217295
2018-08-16,295.4988,0.22126302,2.5019255,287.68472,16.583473
2018-08-17,297.0556,0.1665993,1.4802821,289.1124,18.12424
2018-08-18,297.8049,0.22858158,1.7738341,289.7796,18.862198
2018-08-19,298.12845,0.20668328,1.8704666,289.62643,18.705515
2018-08-20,298.4329,0.12069651,1.6833563,289.26016,18.300323
2018-08-21,298.53397,0.2071832,1.7996075,289.71426,18.789768
2018-08-22,298.48062,0.42467433,1.9656371,289.65698,18.71261
2018-08-23,298.48004,0.2587982,1.738558,290.37082,19.537666
2018-08-24,296.80194,0.66384244,1.3650686,290.57986,19.778603
2018-08-25,293.47946,0.8690814,3.3058748,288.0721,17.007586
2018-08-26,288.24237,0.89430696,3.4620948,283.78503,12.904548
2018-08-27,291.28345,0.34030163,2.0872884,281.64127,11.228329
2018-08-28,293.36713,0.0,1.1441207,284.34348,13.407651
2018-08-29,294.3969,0.03638118,1.5357671,286.27853,15.139652
2018-08-30,295.19925,0.5420493,1.8285882,287.16544,16.0092
2018-08-31,294.57526,0.6751104,1.9742444,288.31387,17.225649
2018-09-01,292.83887,0.8822343,2.777887,289.4605,18.420868
2018-09-02,292.7175,0.8650484,2.2467155,289.32864,18.264185
2018-09-03,292.6931,0.7785121,1.3133339,289.34772,18.277842
2018-09-04,291.86578,0.7632112,1.1556518,289.41827,18.34979
2018-09-05,293.4756,0.42409083,1.3994023,288.7874,17.677555
2018-09-06,293.93,0.4396704,1.1428951,287.8205,16.6286
2018-09-07,293.56686,0.7998687,1.1217908,289.17136,18.083618
2018-09-08,293.62927,0.27185977,1.3859146,288.04865,16.873251
2018-09-09,293.8467,0.08730579,1.2765254,287.21536,16.002207
2018-09-10,294.41693,0.29043847,1.3150321,287.9851,16.782291
2018-09-11,294.50833,0.87965894,1.6274486,287.83368,16.656782
2018-09-12,295.35437,0.3388483,1.439584,287.74622,16.531271
2018-09-13,294.75436,0.7634633,1.1928861,288.27087,17.062845
2018-09-14,294.55566,0.69012177,1.5837781,289.2595,18.130188
2018-09-15,293.1143,0.2942314,1.3762945,287.72968,16.496098
2018-09-16,293.10925,0.052735765,1.9052731,286.4791,15.255906
2018-09-17,293.21036,0.32716858,1.6585518,286.4662,15.239741
2018-09-18,293.38406,0.14804819,1.6080191,285.38385,14.202075
2018-09-19,294.23978,0.22079071,1.253394,286.68146,15.448347
2018-09-20,294.19104,0.15665264,1.5273039,288.33725,17.08466
2018-09-21,294.9014,0.17850137,1.6827694,288.2285,16.96909
2018-09-22,287.93784,0.8726651,2.2215574,282.4458,11.824672
2018-09-23,289.17072,0.44777924,1.592268,284.3507,13.309513
2018-09-24,285.2052,0.42605266,2.7581055,279.61392,9.925903
2018-09-25,283.04324,0.08033496,2.8645236,274.17798,6.6790953
2018-09-26,282.97543,0.06332079,2.0495863,275.0134,7.072854
2018-09-27,285.4799,0.004837592,1.1456327,276.40286,7.804587
2018-09-28,286.44168,0.004837592,1.1456327,276.40286,7.804587
2018-09-29,285.48386,0.11373771,3.840233,276.07654,7.6964493
2018-09-30,283.3899,0.046051018,1.6218153,275.69077,7.421833
2018-10-01,285.44946,0.47482893,1.4437602,279.552,9.783798
2018-10-02,283.65994,0.6340582,1.8255736,279.18353,9.461844
2018-10-03,284.54465,0.4221723,1.1864749,279.0854,9.386037
2018-10-04,285.44366,0.085658126,1.7546678,279.10043,9.372237
2018-10-05,285.80112,0.030002356,1.5275654,279.09415,9.358437
2018-10-06,288.08817,0.5715494,0.9178714,283.33414,12.494742
2018-10-07,289.3934,0.83822113,0.9948615,287.3126,15.930276
2018-10-08,289.393,0.69020253,1.6807675,287.2957,15.916475
2018-10-09,289.39764,0.26343173,1.7969953,285.62073,14.329721
2018-10-10,287.94662,0.24681057,1.8249147,283.26163,12.368945
2018-10-11,287.2886,0.06109283,1.2650225,282.88248,12.046991
2018-10-12,286.73233,0.070689335,1.5480107,282.63522,11.841958
2018-10-13,286.89636,0.06255047,2.1350677,281.6186,11.0640955
2018-10-14,286.23862,0.33487704,1.7321265,280.83456,10.5035715
2018-10-15,285.64832,0.7659329,1.3676685,280.52112,10.302254
2018-10-16,286.84222,0.82265335,0.6893322,283.0546,12.095249
2018-10-17,288.21542,0.5737896,1.1986684,284.33752,13.1251955
2018-10-18,287.52838,0.38657987,1.5993463,283.89624,12.75489
2018-10-19,286.75934,0.13605246,1.5985918,282.64743,11.794383
2018-10-20,286.14,0.31358173,1.8128905,281.86517,11.205389
2018-10-21,283.8769,0.65376675,3.4405024,276.52112,7.8217797
2018-10-22,284.273,0.8039642,2.9485216,279.2335,9.37992
2018-10-23,284.36472,0.52893233,1.613684,279.72137,9.701731
2018-10-24,285.53455,0.6489704,1.7887449,279.37598,9.480532
2018-10-25,284.58667,0.39916423,2.2588434,278.47473,8.949828
