index,Nord_Windspeed,Ost_Windspeed,Sud_Windspeed,West_Windspeed,Nord_Winddirection,Ost_Winddirection,Sud_Winddirection,West_Winddirection,Jesen,Proljece,Ljeto,Zima
5/19/2018,0.566666667,0.620833333,1.2,0.4375,123.0833333,173.2083333,98,196.2083333,0,1,0,0
5/20/2018,0.470833333,0.4875,1.2,0.45,152.0833333,183.8333333,98,221.4583333,0,1,0,0
5/21/2018,0.475,0.675,0.970833333,0.55,167.7083333,134.5833333,107.4583333,197.5833333,0,1,0,0
5/22/2018,0.941666667,0.45,0.875,0.483333333,77.75,226.5416667,146.25,235.6666667,0,1,0,0
5/23/2018,0.770833333,0.516666667,0.779166667,0.545833333,96,151.5,185.875,191.1666667,0,1,0,0
5/24/2018,0.554166667,0.504166667,0.666666667,0.479166667,125.375,220.6666667,238.4583333,239.7916667,0,1,0,0
5/25/2018,0.616666667,0.608333333,0.708333333,0.404166667,142.0416667,145.7916667,170.7083333,222.8333333,0,1,0,0
5/26/2018,0.729166667,0.495833333,0.8375,0.533333333,114.5,164.25,163.4166667,188.3333333,0,1,0,0
5/27/2018,0.833333333,0.533333333,0.866666667,0.529166667,99.875,222.6666667,180.625,206.0833333,0,1,0,0
5/28/2018,0.754166667,0.4625,0.770833333,0.458333333,178.25,198.75,156.7916667,217.75,0,1,0,0
5/29/2018,0.666666667,0.591666667,0.995833333,0.629166667,105.625,199.7083333,227.2083333,196.7083333,0,1,0,0
5/30/2018,0.695833333,0.454166667,0.875,0.566666667,87.83333333,184.375,226.75,146.7083333,0,1,0,0
5/31/2018,0.966666667,0.445833333,0.7875,0.583333333,71.375,192.1666667,194.7083333,157.1666667,0,1,0,0
6/1/2018,0.595833333,0.475,0.591666667,0.458333333,101.9166667,209.375,181.5833333,226.0833333,0,0,1,0
6/2/2018,0.645833333,0.570833333,0.958333333,0.616666667,131.4166667,158.2083333,159.3333333,209.2083333,0,0,1,0
6/3/2018,0.770833333,0.683333333,0.85,0.525,139.75,198.1666667,198.75,191.375,0,0,1,0
6/4/2018,0.925,0.504166667,0.9875,0.533333333,87.875,149.875,192.125,219.9166667,0,0,1,0
6/5/2018,0.958333333,0.6375,0.95,0.491666667,81.25,100.7083333,119.7916667,224.4166667,0,0,1,0
6/6/2018,0.908333333,0.545833333,0.741666667,0.491666667,106.875,150.375,146.7916667,198.2083333,0,0,1,0
6/7/2018,0.558333333,0.625,1.058333333,0.504166667,123,151.25,180.7916667,221.2916667,0,0,1,0
6/8/2018,0.820833333,0.529166667,0.975,0.533333333,114.3333333,164.7083333,180.5,209.5,0,0,1,0
6/9/2018,0.633333333,0.733333333,1.1125,0.658333333,132.625,164.2916667,198.7083333,243.25,0,0,1,0
6/10/2018,0.55,0.575,0.875,0.616666667,106.7916667,151.7916667,206.7083333,209.25,0,0,1,0
6/11/2018,0.666666667,0.479166667,0.941666667,0.616666667,143.9583333,157.4166667,147.125,195.9583333,0,0,1,0
6/12/2018,0.816666667,0.629166667,1.0375,0.629166667,110.9166667,141.75,175.0416667,191.25,0,0,1,0
6/13/2018,0.570833333,0.641666667,1.075,0.958333333,146.875,144,191.4166667,227.4583333,0,0,1,0
6/14/2018,0.654166667,0.770833333,2.183333333,1.5125,205.9583333,236.625,315.7083333,324.4583333,0,0,1,0
6/15/2018,0.675,0.6875,2.145833333,1.829166667,171.0416667,140.4583333,292.6666667,313.7916667,0,0,1,0
6/16/2018,0.4625,0.520833333,1.058333333,1.220833333,104.5,201.3333333,277.9166667,287.375,0,0,1,0
6/17/2018,0.683333333,0.525,0.725,0.945833333,73.70833333,116.9166667,192,269.0833333,0,0,1,0
6/18/2018,0.65,0.966666667,2.408333333,2.2375,243.4166667,279.9166667,300.7916667,321.0833333,0,0,1,0
6/19/2018,0.683333333,0.729166667,1.204166667,1.395833333,128.5833333,140.0833333,231.5,305.2916667,0,0,1,0
6/20/2018,0.833333333,0.429166667,0.858333333,0.570833333,106.5416667,150.625,141.9583333,173.9166667,0,0,1,0
6/21/2018,0.958333333,0.520833333,1.275,0.7,93.70833333,174.625,206.6666667,206.375,0,0,1,0
6/22/2018,0.866666667,0.566666667,1.320833333,0.9625,170.5833333,202,190.125,213.625,0,0,1,0
6/23/2018,0.591666667,0.633333333,1.079166667,0.979166667,168.5,186.1666667,218.9166667,299.3333333,0,0,1,0
6/24/2018,0.654166667,0.683333333,0.929166667,0.658333333,130.3333333,212.7083333,210.125,227.1666667,0,0,1,0
6/25/2018,0.45,0.558333333,0.704166667,0.566666667,143.125,146,210.2083333,218.5,0,0,1,0
6/26/2018,0.729166667,0.658333333,0.729166667,0.608333333,148.5416667,169.5833333,187.4166667,197.5,0,0,1,0
6/27/2018,0.55,0.754166667,1.291666667,1.145833333,168.5,145.375,205.875,272.625,0,0,1,0
6/28/2018,0.395833333,0.7375,1.445833333,1.575,184.125,229.4166667,260.5,296.7083333,0,0,1,0
6/29/2018,0.4875,1.179166667,2.370833333,2.358333333,261.2083333,305.8333333,300.2083333,318.0416667,0,0,1,0
6/30/2018,0.941666667,0.7125,1.583333333,0.895833333,101.625,213.7916667,203.7916667,198.125,0,0,1,0
7/1/2018,0.854166667,0.7,1.1,0.658333333,152.9166667,141.4583333,130.0833333,140.0416667,0,0,1,0
7/2/2018,0.6375,0.616666667,0.9,0.554166667,157.4166667,97.83333333,125.9583333,196.0416667,0,0,1,0
7/3/2018,0.55,0.470833333,0.679166667,0.545833333,144.1666667,145.8333333,155.0833333,275.0416667,0,0,1,0
7/4/2018,0.758333333,0.425,1.054166667,0.641666667,121.375,173.6666667,166.875,184.25,0,0,1,0
7/5/2018,0.791666667,0.525,0.904166667,0.6875,137.0416667,173.4166667,155.5833333,207.5833333,0,0,1,0
7/6/2018,0.333333333,0.708333333,1.033333333,1.2125,230.375,238.9583333,254.8333333,267.5,0,0,1,0
7/7/2018,0.391666667,1.004166667,1.904166667,1.641666667,246,291.25,308,313.7083333,0,0,1,0
7/8/2018,0.541666667,0.5875,0.9,0.8625,134.9166667,154.9583333,223.375,277.5416667,0,0,1,0
7/9/2018,0.770833333,0.5875,1.1375,0.875,111.0416667,178.5,227.3333333,267.1666667,0,0,1,0
7/10/2018,0.65,0.55,1.1,0.654166667,109.8333333,160.0416667,173.7083333,197.5833333,0,0,1,0
7/11/2018,0.508333333,0.675,0.8125,0.475,122.7916667,212.5833333,185.5416667,227.7083333,0,0,1,0
7/12/2018,0.620833333,0.4375,0.758333333,0.545833333,175.875,177.125,176.9166667,214.5,0,0,1,0
7/13/2018,0.841666667,0.566666667,0.8625,0.5125,113.625,153.4583333,199.2083333,201.7916667,0,0,1,0
7/14/2018,0.979166667,0.8125,1.008333333,0.458333333,92,159.4583333,177.3333333,197.5416667,0,0,1,0
7/15/2018,0.825,0.7375,0.879166667,0.558333333,122.875,162,175.2083333,219.75,0,0,1,0
7/16/2018,0.491666667,0.508333333,0.65,0.4625,125,176.1666667,152.75,217.5833333,0,0,1,0
7/17/2018,0.429166667,0.683333333,1.266666667,1.004166667,178.125,238.9166667,257.5416667,286.9166667,0,0,1,0
7/18/2018,0.633333333,0.7,1.433333333,1.016666667,206.9166667,234.625,251.4583333,270.7916667,0,0,1,0
7/19/2018,0.8,0.616666667,1.1875,1.05,115.125,193.0416667,285.75,239.7083333,0,0,1,0
7/20/2018,1.120833333,0.5875,1.058333333,0.741666667,121.7916667,200.625,197.1666667,179.8333333,0,0,1,0
7/21/2018,0.695833333,0.5875,1.0125,0.645833333,96.41666667,181.8333333,219.7916667,190.9166667,0,0,1,0
7/22/2018,0.4625,0.741666667,1.079166667,0.929166667,182.9166667,256.0833333,253.5416667,253.0416667,0,0,1,0
7/23/2018,0.341666667,0.479166667,1.0125,0.9,144.5416667,217.1666667,258.5833333,312.5,0,0,1,0
7/24/2018,0.791666667,0.625,0.895833333,0.833333333,111.5833333,172.875,231.3333333,226.9166667,0,0,1,0
7/25/2018,0.916666667,0.758333333,0.991666667,0.708333333,112.3333333,196.5833333,188.6666667,181.0833333,0,0,1,0
7/26/2018,0.570833333,0.5875,1.1625,1.170833333,181.125,222.2083333,264.6666667,233.7916667,0,0,1,0
7/27/2018,0.741666667,0.675,0.975,0.566666667,93.70833333,131.7083333,123.5,150.5833333,0,0,1,0
7/28/2018,0.691666667,0.625,0.9625,0.5125,142.0833333,119.9166667,166.0416667,174.4166667,0,0,1,0
7/29/2018,0.7,0.85,1.141666667,0.925,165.0833333,157.5833333,192.75,245.7916667,0,0,1,0
7/30/2018,0.858333333,0.554166667,0.908333333,0.691666667,111.0833333,125.3333333,225.9166667,178.0416667,0,0,1,0
7/31/2018,0.875,0.625,0.829166667,0.520833333,100.5416667,141.7083333,194.0833333,189.7083333,0,0,1,0
8/1/2018,0.9875,0.741666667,1.2125,0.504166667,76.83333333,160.0416667,149.8333333,182.625,0,0,1,0
8/2/2018,0.470833333,0.508333333,0.733333333,0.454166667,121.6666667,160.2916667,187.1666667,221.5,0,0,1,0
8/3/2018,0.7625,0.433333333,0.6625,0.341666667,85.54166667,190.7916667,217.8333333,237.7083333,0,0,1,0
8/4/2018,0.9125,0.441666667,0.9875,0.529166667,115.9166667,135,175.5,202.4166667,0,0,1,0
8/5/2018,0.833333333,0.5625,0.975,0.566666667,116.2083333,213.8333333,195.75,202.1666667,0,0,1,0
8/6/2018,0.845833333,0.429166667,0.845833333,0.554166667,108.7083333,172.2083333,166.9583333,182.6666667,0,0,1,0
8/7/2018,0.875,0.566666667,1.1,0.6875,104.4583333,178.2083333,213.25,144.3333333,0,0,1,0
8/8/2018,0.654166667,0.533333333,0.933333333,0.633333333,137.9583333,134.375,135.5,203.125,0,0,1,0
8/9/2018,0.775,0.679166667,1.095833333,0.579166667,194.4166667,180.5833333,154.8333333,208.25,0,0,1,0
8/10/2018,0.716666667,0.716666667,1.241666667,0.841666667,147.75,179.0416667,203.5416667,205.7916667,0,0,1,0
8/11/2018,0.495833333,0.566666667,0.6875,0.583333333,154.625,174,146.2083333,192.875,0,0,1,0
8/12/2018,0.770833333,0.570833333,1.1125,0.608333333,112.7916667,185.875,182.1666667,175.125,0,0,1,0
8/13/2018,0.841666667,0.504166667,0.8625,0.5125,101.625,154,162.875,214.9166667,0,0,1,0
8/14/2018,0.5375,0.491666667,0.683333333,0.6,116.2083333,177.0416667,191.5,230.125,0,0,1,0
8/15/2018,0.833333333,0.558333333,0.975,0.708333333,146.25,164.625,257.8333333,258.6666667,0,0,1,0
8/16/2018,0.766666667,0.604166667,0.85,0.504166667,97.16666667,182.5416667,186.1666667,155.1666667,0,0,1,0
8/17/2018,0.9375,0.383333333,0.766666667,0.454166667,105.2916667,149.375,177.9166667,199.4583333,0,0,1,0
8/18/2018,0.791666667,0.583333333,0.983333333,0.470833333,92.5,174.6666667,191,203.0833333,0,0,1,0
8/19/2018,0.866666667,0.633333333,0.704166667,0.383333333,84.79166667,149.2083333,164.6666667,222.625,0,0,1,0
8/20/2018,0.733333333,0.554166667,0.991666667,0.633333333,199.3333333,181.75,209.9166667,193.4166667,0,0,1,0
8/21/2018,0.6625,0.5375,0.895833333,0.595833333,170.125,144.7083333,168.6666667,205.4583333,0,0,1,0
