,pm10,pm2.5,pm1
2009-03-27,25.085324232082066,14.48529411764726,14.641544117647161
2009-03-28,26.393522999337645,17.035271687321096,13.626834381550708
2009-03-29,18.94894407898312,14.469365426695887,12.351868732908393
2009-03-30,15.317751429372446,14.742435158501436,12.783579402232416
2009-03-31,47.138139124256,40.050167224080354,27.829399739825032
2009-04-01,46.9708391298466,36.11467301703636,28.095238095238233
2009-04-02,38.88772373186086,30.62511099271919,27.481797194103702
2009-04-03,48.685218296282805,36.07446231700701,30.439103722443175
2009-04-04,32.99007607412843,24.096060442525513,22.127315231073467
2009-04-05,35.91715906437935,24.541541916168057,21.73181223115759
2009-04-06,40.53053207420016,28.72938191045864,25.973908316723616
2009-04-07,46.66149550108584,29.542137905873695,30.984503190519465
2009-04-08,23.146726762168335,15.711727842434655,16.260962949704787
2009-04-09,27.601543087528512,13.966635773865024,10.880444856348548
2009-04-10,27.22810597797358,18.47494162026204,19.333692528735774
2009-04-11,29.2008852389083,21.131114748135957,23.981818181818447
2009-04-12,35.69739283134827,26.360208295923314,24.344703770197416
2009-04-13,34.51417214684101,19.07858071707227,18.310120705664154
2009-04-14,41.21090197609844,25.81922938422742,23.56859920777826
2009-04-15,35.56544690898932,21.52625820568929,24.129443938012855
2009-04-16,28.94520892539094,15.319497542326506,21.219290263876257
2009-04-17,20.322428194375725,6.483058868066777,6.576457229371698
2009-04-18,18.089068172008947,16.583229036295826,17.432094353109683
2009-04-19,23.809273548663793,22.503739715782054,16.40172059098539
2009-04-20,20.87195838388188,20.41780199818322,17.21758082092271
2009-04-21,18.903813927370784,9.929398986241985,10.155684286749342
2009-04-22,24.645513416097582,15.746255188594088,14.504780804618424
2009-04-23,18.473045307150365,14.458169567658793,10.35741017964043
2009-04-24,26.330246655080774,18.69309051955044,17.514729512587213
2009-04-25,27.481939255606587,18.706739526411663,15.677888989990668
2009-04-26,30.22725038272966,21.765765765766027,20.659221902016956
2009-04-27,28.24130263018559,19.864376130198956,16.913758813957294
2009-04-28,25.343720033407482,19.950193691201125,16.181080582702847
2009-04-29,16.74864583591637,12.262271327657729,12.472826086956173
2009-04-30,24.261913380763893,18.824515648285576,15.343767467859745
2009-05-01,25.64058059409007,18.05097971215513,17.34003814808394
2009-05-02,24.997465953641832,16.051454138701956,14.65051258154723
2009-05-03,32.82497747009523,23.491221653255195,19.68007312614325
2009-05-04,20.372080177562857,15.051020408164156,8.983236151603379
2009-05-05,20.505173838589123,13.924392439244611,9.726471117509435
2009-05-06,17.725287619343923,10.001866019779452,9.03153573427901
2009-05-07,23.918662211619807,15.954796227087067,7.301672002846106
2009-05-08,27.127800668446646,18.324891461650534,12.301013024602277
2009-05-09,29.14910711101696,20.824011931395127,14.368244502423066
2009-05-10,28.79119153377845,19.55082319255541,22.093023255813705
2009-05-11,31.450518902117317,21.50064208402089,20.542920029346696
2009-05-12,27.67158464437461,15.440128296507346,20.338379341050338
2009-05-13,41.08912419667571,31.647559171598235,25.781105564798764
2009-05-14,48.239579833419114,36.887321396274686,29.40325497287502
2009-05-15,41.65583924438041,32.055524912667934,24.71496873850702
2009-05-16,33.752959779490666,27.15439856373429,22.701974865350618
2009-05-17,52.41516333495846,38.740143040528466,33.02785923753713
2009-05-18,57.988394798125746,41.992365024540604,35.12899709302334
2009-05-19,31.57628234865297,24.338624338623866,21.592775041050977
2009-05-20,27.990525837089756,22.829581993568947,22.694975469463635
2009-05-21,41.260753998835966,28.661417322834897,26.696832579186008
2009-05-22,31.342927722118045,13.302006144948752,21.629924105529017
2009-05-23,23.596151367889533,14.95080174927117,15.746309458720678
2009-05-24,36.48065066607948,24.534778681120113,22.060682680151462
2009-05-25,35.24484059088038,21.379497378412136,20.254880694143104
2009-05-26,26.226982119684017,15.10895011705346,12.538253825382837
2009-05-27,11.291274312266776,7.75078805859502,5.266085666604979
2009-05-28,14.145115793326816,9.78359701764027,8.58181818181869
2009-05-29,10.046594450215219,4.196750902526514,6.848944233893387
2009-05-30,10.334885393820656,9.608158883520382,8.559928443649246
2009-05-31,12.821028657426941,8.872139484199106,9.161067731977825
2009-06-01,14.662002117085535,10.87588588042889,9.60944595821983
2009-06-02,11.396543590410086,10.450367647058306,6.212093365189803
2009-06-03,20.5128257624929,12.950552436153254,10.795145806919274
2009-06-04,25.051865742981988,20.211988304092987,16.93459992692699
2009-06-05,26.044792533235615,16.020128087832187,12.48627881448911
2009-06-06,29.797887249154645,15.522522522521793,12.947956059787455
2009-06-07,17.75451519441379,10.565288062127044,9.210763951598526
2009-06-08,19.192031616370652,10.57512176845304,11.430443737127097
2009-06-09,22.004379370527193,11.234634851771458,9.835472789730911
2009-06-10,24.196878085965814,13.060926669099274,13.126709206927956
2009-06-11,18.90207715133554,11.792707023531602,8.628119949721581
2009-06-12,17.823876918308347,10.41287740996783,9.207416833303414
2009-06-13,21.451702516072977,13.541284403669007,11.984228864845061
2009-06-14,24.6158954679736,14.14349775784749,15.199067431850809
2009-06-15,22.30914900433155,15.572587917042187,16.263974035341036
2009-06-16,18.361663572389347,11.041704942127838,10.782512858192582
2009-06-17,18.459889942476824,12.226875455207422,12.2155470598945
2009-06-18,34.97119152842074,24.130036630036617,23.969968870170383
2009-06-19,40.844466114090366,29.9781579905348,29.390354868061465
2009-06-20,16.556101735459723,12.954876273653392,11.264786169244415
2009-06-21,23.429405912655195,17.86040562762639,14.810080350621003
2009-06-22,16.31882223193884,11.901420803367804,9.728070175438344
2009-06-23,16.190495827622374,10.759020377640804,9.428678117999127
2009-06-24,19.544377549573664,12.08249680598642,12.429275415221522
2009-06-25,22.59243486820595,14.215598786364547,14.766238401141702
2009-06-26,26.65274111356984,18.154761904761475,17.909615026966552
2009-06-27,34.389460388195246,25.47937771345888,23.7389260531551
2009-06-28,24.152413869460386,18.546775658492173,16.61820825004616
2009-06-29,29.124898056557768,21.114447191805297,21.310028248587813
2009-06-30,37.281391451270096,26.79042593290652,26.206181681116036
2009-07-01,42.41852198977868,28.155252778773303,24.031911079239773
2009-07-02,51.12894178938481,33.803068141276846,27.318943988583005
2009-07-03,38.60389512327064,25.476505000943913,27.378255945639737
2009-07-04,29.75172549887515,18.64086408640855,19.780417566594473
2009-07-05,26.88753183650803,18.340571842200514,15.819004524886623
2009-07-06,24.79662396465278,15.563034382390558,16.13129717395077
2009-07-07,19.550823416968367,17.44664919505833,14.813775032753146
2009-07-08,20.827893795287622,9.32661145120617,12.313231323132136
2009-07-09,20.464064055696376,15.590016516792128,14.723701119882962
2009-07-10,20.814322495659088,15.225323846013282,12.709854014598841
2009-07-11,18.414932495696142,12.943555800699356,16.05403418489196
2009-07-12,26.87642094011287,18.28921655711474,18.65008880994663
2009-07-13,35.58030745472969,27.150239940937617,23.897804833056725
2009-07-14,36.659109049873294,26.48232094288361,26.609247506799324
2009-07-15,34.67749365396678,22.344028520499435,23.391552307966393
2009-07-16,27.628750550365574,17.810845353295928,19.271498995800382
2009-07-17,36.88374084488485,18.598478145460426,25.283085633403854
2009-07-18,15.480663382622518,9.4505287009061,9.949027751557479
2009-07-19,18.276737430899995,13.379898403483347,11.797243380486508
2009-07-20,32.608125720707044,23.235722080756908,21.55846517548656
2009-07-21,34.16960255422292,19.546376544347737,18.353613569321723
2009-07-22,32.244506653372724,19.809626436781482,20.919375112228895
2009-07-23,27.756002353001662,16.126418152350464,15.973347739960861
2009-07-24,27.662491203948747,15.795954265610455,13.928948294055349
2009-07-25,16.461135234683535,11.5312441358602,11.437417902045132
2009-07-26,22.893053776269465,14.99814264487349,13.001485884101154
2009-07-27,30.63219044759093,21.962451292950604,20.89235127478779
2009-07-28,26.099904995461014,17.298797409806088,18.257491675915425
2009-07-29,27.05797821194206,17.099926253687787,18.15333579063792
2009-07-30,27.507631537914826,22.16819737079074,17.85521339816327
2009-07-31,25.478469898501388,15.91033351558201,13.816029143897913
2009-08-01,41.55033763494339,27.4665702927357,20.827312138728598
2009-08-02,28.90352214495739,20.34651669085627,18.24116047144165
2009-08-03,21.196349988477003,15.472137609747662,10.448028673835129
2009-08-04,13.114516011909501,11.486735445836386,8.577482955592036
2009-08-05,27.526997039897285,18.899564902102505,14.040971718636394
2009-08-06,29.415019394518367,20.420122610890385,13.724075743913144
2009-08-07,25.3453251109581,18.885023800805396,12.950759655866227
2009-08-08,26.75380128482472,19.341526045487633,14.63951568519576
2009-08-09,33.45315156654892,22.63157894736889,21.126632801160827
2009-08-10,45.64052460707855,33.47542173045529,29.800543970988073
2009-08-11,32.98247450742235,21.93755739210261,20.284664830119524
2009-08-12,31.864886039245018,21.745428209306677,21.958725561187396
2009-08-13,26.731498822090934,20.121179236751964,18.752260397830202
2009-08-14,27.90051661235428,18.447472212262497,17.992831541218226
2009-08-15,20.72655278916864,21.295613711758268,18.868619863644685
2009-08-16,31.674225833992388,24.086924762600198,21.007483117356916
2009-08-17,41.20908599435502,28.937499999999947,24.68783446307521
2009-08-18,29.26948730587579,21.3716252944374,21.907263176960736
2009-08-19,28.839124289024536,17.882042585264845,19.809721175584748
2009-08-20,32.25400095670178,21.38989169675075,22.080851831799603
2009-08-21,39.68867325053111,27.651649521107352,25.669682455206246
2009-08-22,16.42915148907525,9.55066399854462,8.319694489907247
2009-08-23,17.19876260068671,13.377192982456332,12.360679700347095
2009-08-24,16.434104375514092,15.958815958815588,10.571796286081856
2009-08-25,33.345818137787006,30.53956834532383,20.769645747167086
2009-08-26,35.34417936260632,24.15169660678691,18.178519593613984
2009-08-27,26.538741956275803,22.92048369366072,13.965201465201453
2009-08-28,31.150759624629607,24.922741319759744,17.569040697674843
2009-08-29,22.809565411676875,11.542610571736851,4.820143884891914
2009-08-30,20.483755454162814,13.224504768891629,11.707004033736457
2009-08-31,34.05418374363023,22.8162511542013,20.598559024570566
2009-09-01,35.852778321974135,25.293798589766972,21.910010842067315
2009-09-02,31.66718503154493,22.89761520530752,19.210102095647077
2009-09-03,21.789181913204082,15.098920863309726,12.183060600611356
2009-09-04,12.814500245758918,9.86213235294109,9.549632352941288
2009-09-05,10.885867297734888,6.4655967533666034,7.001845018450274
2009-09-06,14.120364411361033,9.935897435896951,9.130036630036356
2009-09-07,16.745484766315517,14.388618764632126,12.095032397408314
2009-09-08,15.925470796912295,11.920246448741892,11.030292657881567
2009-09-09,28.333918891789153,22.25726299694214,16.66985280061196
2009-09-10,33.52071729293595,23.859992874955847,19.668626402992942
2009-09-11,37.35797763101575,27.610685596861185,25.40156892043384
2009-09-12,38.231748033832886,32.55579948774221,21.867569050667424
2009-09-13,28.656409413084685,24.041688747571122,17.744214803038183
2009-09-14,43.072820448592125,37.332838038633206,25.176383215744966
2009-09-15,30.006449705732148,23.806129722024302,18.98824367652318
2009-09-16,40.338800132889574,30.84304932735399,20.54548717028543
2009-09-17,38.12012090706769,30.84988962472428,22.241632953292203
2009-09-18,31.98359062450564,24.41203281677314,22.33266459967203
2009-09-19,33.63871784947701,27.417849141150324,18.24715325742057
2009-09-20,42.898890784983,32.6223902087832,25.530957523398435
2009-09-21,40.539409023841486,29.690048939641116,25.874252581989214
2009-09-22,47.706599875953586,31.471711842823527,26.222949627204926
2009-09-23,58.498115292419094,41.577883908890044,35.38376790304782
2009-09-24,44.24518315635583,32.22362945540085,27.691333453953643
2009-09-25,22.356928723629057,12.94773391812867,12.796857873584084
2009-09-26,20.9546266062544,15.504224339385013,12.259572173287083
2009-09-27,43.60649745807384,29.18337586584067,23.39165299799513
2009-09-28,58.35244658542622,40.0680637650007,30.560530085959382
2009-09-29,40.97069477008112,30.076095025984127,25.950658504915808
2009-09-30,64.25700624443947,49.92714025500949,39.17319249681322
2009-10-01,38.16703120913855,26.847768565884067,23.518518518518295
2009-10-02,19.70989761092137,13.211382113820504,9.484193011646989
2009-10-03,23.141870851195154,13.819648093841726,16.434463794683676
2009-10-04,31.03344925908309,22.202988338192117,20.995079278294405
2009-10-05,59.58911318401719,30.187511056075923,23.4565717318237
2009-10-06,41.51405022081,23.605670583846347,19.97576435495904
2009-10-07,52.62609025407665,29.141607435757052,24.05686167304516
2009-10-08,38.05939461983789,20.908925979680205,16.318940493468748
2009-10-09,37.1942562729277,28.186003683241072,26.500368188512706
2009-10-10,31.715480064555493,23.269300471185343,17.49139024832325
2009-10-11,9.833328632273503,5.569080949482733,1.9125683060111567
2009-10-12,4.8744769360435996,0.30160857908846345,1.720670391061933
2009-10-13,3.7334554232916637,0.46346782987975044,1.3358778625954946
2009-10-14,11.541225076342558,7.957656506661652,5.812043795620425
2009-10-15,11.081553924784226,8.570909751225717,5.103523428986119
2009-10-16,31.979384564571138,21.86425339366492,19.697792254795875
2009-10-17,25.89956399661242,22.152815498822896,18.973941368077814
2009-10-18,13.406528030631828,11.25533428165047,8.115555555555531
2009-10-19,17.822009349814724,13.601060806970949,12.189808675885946
2009-10-20,27.62421293323884,21.021746634449375,17.420189818809735
2009-10-21,21.08534949773986,10.82621082621111,10.037986704653658
2009-10-22,26.12004073979227,18.787276341947784,14.924968360151492
2009-10-23,14.958311603435366,13.65744870651159,9.587941491258803
2009-10-24,24.16244596347385,20.69574430513873,13.89085128929699
2009-10-25,42.36439108422455,32.610287387881954,23.507872574148287
2009-10-26,43.81865374136012,30.5972917826006,22.087198515769632
2009-10-27,24.285770167323832,15.320558739255175,13.227134419187212
2009-10-28,28.624793464442792,24.8647186147187,20.876939732947736
2009-10-29,26.770159441699207,26.10097659848931,19.480280132694478
2009-10-30,22.897085603805944,22.81159942363119,18.38976945244946
2009-10-31,30.769355264725096,32.29262039919482,25.577134481495207
2009-11-01,46.976732114353716,43.134219632125216,32.771808413767644
2009-11-02,49.052094233157284,47.40807174887904,36.260089686098326
2009-11-03,29.064554333430202,30.157261794634973,22.589302239496305
2009-11-04,24.247729042644064,23.638324644975924,19.638684163221217
2009-11-05,31.871653126953394,30.144978783592858,20.487891108361204
2009-11-06,16.09582810973741,18.783979702790788,11.361371337452404
2009-11-07,24.56373111166478,22.397891963109288,15.057406361753573
2009-11-08,25.916801348516845,24.146032893547876,15.42284062161198
2009-11-09,32.71802864640813,25.490375802016807,18.331805682859777
2009-11-10,24.46683182897012,22.221209912536665,16.61199198104628
2009-11-11,34.53427149794473,26.382713853814174,20.50871575951646
2009-11-12,53.20575329107694,40.466023022651335,33.008356545961284
2009-11-13,51.347617559849205,32.70107605325532,24.71274849534917
2009-11-14,26.801033115026133,19.439971372338842,15.96525787965647
2009-11-15,41.841275327255985,25.620915032680482,17.021475256769552
2009-11-16,36.9188557836464,20.251053370787034,17.47981747981791
