,Graz-DB (LUFE),Graz-DB (LUTE),Graz-DB (NO),Graz-DB (NO2),Graz-DB (NOX),Graz-DB (PM10),Graz-DB (SO2),Graz-DB (STBK 10K),Graz-N (LUFE),Graz-N (LUTE),Graz-N (NO),Graz-N (NO2),Graz-N (NOX),Graz-N (PM10),Graz-N (SO2),Graz-N (STBK 10K),Graz-O P (LUFE),Graz-O P (LUTE),Graz-O P (NO),Graz-O P (NO2),Graz-O P (NOX),Graz-O P (PM10),Graz-O P (STBK 10K),Graz-S (LUFE),Graz-S (LUTE),Graz-S (NO),Graz-S (NO2),Graz-S (NOX),Graz-S (PM10),Graz-S (SO2),Graz-S (STBK 10K),Graz-W (LUFE),Graz-W (LUTE),Graz-W (NO),Graz-W (NO2),Graz-W (NOX),Graz-W (PM10),Graz-W (STBK 10K),Graz-W (SO2)
2010-02-02,69.99041,-4.814672,143.76183,99.2234,167.18544,,7.760617,90.59485,67.349785,-4.376554,32.84856,61.173244,58.33755,43.0,2.1259646,48.403873,,,63.84793,76.64915,91.28384,,80.315926,72.27729,-5.484928,136.56659,88.323395,155.71553,79.09003,4.7622013,88.358345,69.77042,-4.4540625,63.881058,74.86851,90.372536,56.479168,56.479168,5.046319
2010-02-03,71.66563,-3.73718,184.90166,107.76809,204.63936,89.810036,9.581254,99.69488,67.982506,-3.1714942,32.906895,63.338924,59.515957,40.77001,3.8690848,45.372166,,,74.99768,80.27277,102.12084,,75.099754,72.22041,-4.362552,144.00874,89.47469,162.2783,88.24,5.578021,101.46743,71.77979,-3.3351538,79.74464,76.86191,104.14128,60.30189,60.30189,6.544234
2010-02-04,70.27729,-0.5918984,200.56212,117.200836,222.1355,79.120056,10.957128,103.02795,66.840836,-0.20391893,28.43672,63.10574,55.808296,39.900017,5.1426134,45.549023,,,87.39749,86.0381,115.08215,,91.67781,68.87146,-1.1251398,146.6264,94.5019,167.0051,90.38996,5.9356384,98.90124,71.30125,-0.23382698,82.73186,79.91234,108.12447,63.011402,63.011402,6.953212
2010-02-05,87.16917,0.48497415,130.97256,93.94491,154.16768,74.46998,7.7657886,55.735535,82.91729,0.37248394,32.18202,56.31106,55.25915,43.19998,2.4131615,36.216377,,,47.75046,69.20405,74.47872,,43.98357,84.49458,-0.00034996867,100.76228,70.89234,117.878716,63.56004,4.4625106,62.724014,86.62563,0.5145527,46.872334,63.319576,70.68425,39.77162,39.77162,4.8547444
2010-02-06,88.65438,-0.23373759,222.28062,110.348495,235.9717,77.830025,9.664873,91.31324,86.12354,0.024293892,52.262657,61.13235,73.87916,55.120026,2.030431,43.81894,,,109.38808,85.9987,132.70088,,67.51569,89.31855,-0.9634767,196.54552,99.09,209.44128,109.99005,6.7305956,113.71863,89.37583,0.10141856,76.97351,70.11425,98.388954,54.913723,54.913723,4.923957
2010-02-07,93.862305,0.33188954,35.964775,67.065956,63.91744,41.22999,6.0040636,50.835037,92.01896,0.57705516,7.7274256,35.872337,24.95785,42.10999,2.7315764,34.44838,,,12.598921,44.19766,33.21681,,39.62965,97.28875,0.2894375,9.614874,42.519997,29.947235,44.80002,3.7809575,44.260143,95.02294,0.51774085,8.220574,47.22787,31.2917,39.91874,39.91874,4.704277
2010-02-08,85.0125,-2.5088403,24.590618,43.828728,42.639397,56.81003,6.520425,55.087128,80.92896,-1.9397646,4.122234,23.230835,15.457617,45.44998,4.234036,44.579273,,,7.843917,32.782986,23.435448,,49.143387,89.42751,-2.730606,7.682346,29.705107,21.696466,48.920002,4.584511,53.530888,84.209366,-2.0977957,4.2565465,28.33213,18.230556,,,5.8140864
2010-02-09,83.03168,-4.8658543,32.234974,48.315533,51.114685,50.329998,6.1161056,59.87084,78.91062,-4.6337085,4.5494466,27.610645,18.091702,49.100002,3.820653,49.49019,,,8.187256,31.666595,23.127789,,52.90588,84.594154,-4.662271,6.2416058,29.479362,20.423618,50.680008,4.278575,57.53578,83.07166,-4.680771,3.8516893,28.413832,17.94732,,,4.8675103
2010-02-10,85.49582,-4.5883117,37.351784,54.98914,58.711514,68.060036,4.352978,60.499996,79.781456,-4.4651675,4.9614472,31.524038,20.466938,43.319977,1.6681936,43.193848,,,7.5617537,33.38809,23.526215,,56.14951,87.69354,-4.3877087,6.217255,34.45575,23.007875,58.010006,2.1332977,62.82083,83.344795,-4.3631043,4.3810487,33.835743,21.208958,43.32292,43.32292,2.9038937
2010-02-11,90.362724,-2.7911308,65.50425,73.62957,91.03406,45.839996,7.1835957,67.2174,84.536644,-2.6979268,11.257406,39.36383,29.615892,48.12001,3.4520059,43.529694,,,15.467866,47.99213,37.504894,,64.6809,93.12626,-2.6754773,15.994504,48.993195,38.4517,61.56004,4.6715107,67.088974,88.036255,-2.4439566,11.298637,42.546814,31.31255,53.33923,53.33923,6.368681
