"Name";"Time";"Q@KFZ";
"8041_221_West";"09.01.2018 00:00:00";705;75
"8045_203";"09.01.2018 00:00:00";967;875
"8045_203_Nord";"09.01.2018 00:00:00";489;95834
"8045_203_Süd";"09.01.2018 00:00:00";477;91666
"8051_101";"09.01.2018 00:00:00";1360;4166
"8051_101_Nord";"09.01.2018 00:00:00";610;7917
"8051_101_Süd";"09.01.2018 00:00:00";749;625
"8055_108_Nord_bis20210121";"09.01.2018 00:00:00";426;74997
"8055_108_Süd_bis20210121";"09.01.2018 00:00:00";453;22357
"8010_205";"10.01.2018 00:00:00";932;2083
"8010_209";"10.01.2018 00:00:00";735;2083
"8010_214";"10.01.2018 00:00:00";833;25
"8010_202_Nord";"10.01.2018 00:00:00";0;0
"8010_205_Ost";"10.01.2018 00:00:00";447;95834
"8010_205_West";"10.01.2018 00:00:00";484;25
"8010_209_Ost";"10.01.2018 00:00:00";363;625
"8010_209_West";"10.01.2018 00:00:00";371;58334
"8010_213_Ost";"10.01.2018 00:00:00";712;9583
"8010_214_Nord";"10.01.2018 00:00:00";382;4166
"8010_214_Süd";"10.01.2018 00:00:00";451;20834
"8020_102";"10.01.2018 00:00:00";1442;7513
"8020_103";"10.01.2018 00:00:00";1657;5366
"8020_107";"10.01.2018 00:00:00";1030;6213
"8020_102_Nord";"10.01.2018 00:00:00";716;5005
"8020_102_Süd";"10.01.2018 00:00:00";726;2509
"8020_103_Nord";"10.01.2018 00:00:00";849;83057
"8020_103_Süd";"10.01.2018 00:00:00";807;706
"8020_107_Nord";"10.01.2018 00:00:00";564;4986
"8020_107_Süd";"10.01.2018 00:00:00";466;12268
"8041_218";"10.01.2018 00:00:00";517;7083
"8041_221";"10.01.2018 00:00:00";1389;1666
"8041_218_Nord";"10.01.2018 00:00:00";-1;0
"8041_218_Süd";"10.01.2018 00:00:00";-1;0
"8041_221_Ost";"10.01.2018 00:00:00";681;25
"8041_221_West";"10.01.2018 00:00:00";707;9167
"8045_203";"10.01.2018 00:00:00";941;2083
"8045_203_Nord";"10.01.2018 00:00:00";479;83334
"8045_203_Süd";"10.01.2018 00:00:00";461;375
"8051_101";"10.01.2018 00:00:00";1378;75
"8051_101_Nord";"10.01.2018 00:00:00";624;375
"8051_101_Süd";"10.01.2018 00:00:00";754;375
"8055_108_Nord_bis20210121";"10.01.2018 00:00:00";413;16666
"8055_108_Süd_bis20210121";"10.01.2018 00:00:00";444;66666
"8010_205";"11.01.2018 00:00:00";945;2917
"8010_209";"11.01.2018 00:00:00";740;9095
"8010_214";"11.01.2018 00:00:00";844;4583
"8010_202_Nord";"11.01.2018 00:00:00";0;0
"8010_205_Ost";"11.01.2018 00:00:00";456;625
"8010_205_West";"11.01.2018 00:00:00";488;66666
"8010_209_Ost";"11.01.2018 00:00:00";370;87057
"8010_209_West";"11.01.2018 00:00:00";370;3723
"8010_213_Ost";"11.01.2018 00:00:00";722;375
"8010_214_Nord";"11.01.2018 00:00:00";385;58334
"8010_214_Süd";"11.01.2018 00:00:00";458;875
"8020_102";"11.01.2018 00:00:00";1671;8329
"8020_103";"11.01.2018 00:00:00";1665;2551
"8020_107";"11.01.2018 00:00:00";1048;3365
"8020_102_Nord";"11.01.2018 00:00:00";942;5833
"8020_102_Süd";"11.01.2018 00:00:00";729;2495
"8020_103_Nord";"11.01.2018 00:00:00";855;62823
"8020_103_Süd";"11.01.2018 00:00:00";809;62683
"8020_107_Nord";"11.01.2018 00:00:00";578;5435
"8020_107_Süd";"11.01.2018 00:00:00";469;79306
"8041_218";"11.01.2018 00:00:00";527;5
"8041_221";"11.01.2018 00:00:00";1428;2916
